%
%	这是工人能力的数据
%
%	2018/6/9

@RELATION trait

@ATTRIBUTE workerid NUMERIC
%标注类型一
@ATTRIBUTE trait_1_1 NUMERIC
@ATTRIBUTE trait_1_2 NUMERIC
@ATTRIBUTE trait_1_3 NUMERIC
@ATTRIBUTE trait_1_4 NUMERIC
@ATTRIBUTE trait_1_5 NUMERIC
@ATTRIBUTE trait_1_6 NUMERIC
@ATTRIBUTE trait_1_7 NUMERIC
@ATTRIBUTE trait_1_8 NUMERIC
@ATTRIBUTE trait_1_9 NUMERIC
@ATTRIBUTE trait_1_10 NUMERIC
@ATTRIBUTE trait_1_11 NUMERIC
@ATTRIBUTE trait_1_12 NUMERIC
@ATTRIBUTE trait_1_13 NUMERIC
@ATTRIBUTE trait_1_14 NUMERIC
@ATTRIBUTE trait_1_15 NUMERIC
@ATTRIBUTE trait_1_16 NUMERIC
@ATTRIBUTE trait_1_17 NUMERIC
@ATTRIBUTE trait_1_18 NUMERIC
@ATTRIBUTE trait_1_19 NUMERIC
@ATTRIBUTE trait_1_20 NUMERIC
@ATTRIBUTE trait_1_21 NUMERIC
@ATTRIBUTE trait_1_22 NUMERIC
@ATTRIBUTE trait_1_23 NUMERIC
@ATTRIBUTE trait_1_24 NUMERIC
@ATTRIBUTE trait_1_25 NUMERIC
@ATTRIBUTE trait_1_26 NUMERIC
@ATTRIBUTE trait_1_27 NUMERIC
@ATTRIBUTE trait_1_28 NUMERIC
@ATTRIBUTE trait_1_29 NUMERIC
@ATTRIBUTE trait_1_30 NUMERIC
%标注类型二
@ATTRIBUTE trait_2_1 NUMERIC
@ATTRIBUTE trait_2_2 NUMERIC
@ATTRIBUTE trait_2_3 NUMERIC
@ATTRIBUTE trait_2_4 NUMERIC
@ATTRIBUTE trait_2_5 NUMERIC
@ATTRIBUTE trait_2_6 NUMERIC
@ATTRIBUTE trait_2_7 NUMERIC
@ATTRIBUTE trait_2_8 NUMERIC
@ATTRIBUTE trait_2_9 NUMERIC
@ATTRIBUTE trait_2_10 NUMERIC
@ATTRIBUTE trait_2_11 NUMERIC
@ATTRIBUTE trait_2_12 NUMERIC
@ATTRIBUTE trait_2_13 NUMERIC
@ATTRIBUTE trait_2_14 NUMERIC
@ATTRIBUTE trait_2_15 NUMERIC
@ATTRIBUTE trait_2_16 NUMERIC
@ATTRIBUTE trait_2_17 NUMERIC
@ATTRIBUTE trait_2_18 NUMERIC
@ATTRIBUTE trait_2_19 NUMERIC
@ATTRIBUTE trait_2_20 NUMERIC
@ATTRIBUTE trait_2_21 NUMERIC
@ATTRIBUTE trait_2_22 NUMERIC
@ATTRIBUTE trait_2_23 NUMERIC
@ATTRIBUTE trait_2_24 NUMERIC
@ATTRIBUTE trait_2_25 NUMERIC
@ATTRIBUTE trait_2_26 NUMERIC
@ATTRIBUTE trait_2_27 NUMERIC
@ATTRIBUTE trait_2_28 NUMERIC
@ATTRIBUTE trait_2_29 NUMERIC
@ATTRIBUTE trait_2_30 NUMERIC
%标注类型三
@ATTRIBUTE trait_3_1 NUMERIC
@ATTRIBUTE trait_3_2 NUMERIC
@ATTRIBUTE trait_3_3 NUMERIC
@ATTRIBUTE trait_3_4 NUMERIC
@ATTRIBUTE trait_3_5 NUMERIC
@ATTRIBUTE trait_3_6 NUMERIC
@ATTRIBUTE trait_3_7 NUMERIC
@ATTRIBUTE trait_3_8 NUMERIC
@ATTRIBUTE trait_3_9 NUMERIC
@ATTRIBUTE trait_3_10 NUMERIC
@ATTRIBUTE trait_3_11 NUMERIC
@ATTRIBUTE trait_3_12 NUMERIC
@ATTRIBUTE trait_3_13 NUMERIC
@ATTRIBUTE trait_3_14 NUMERIC
@ATTRIBUTE trait_3_15 NUMERIC
@ATTRIBUTE trait_3_16 NUMERIC
@ATTRIBUTE trait_3_17 NUMERIC
@ATTRIBUTE trait_3_18 NUMERIC
@ATTRIBUTE trait_3_19 NUMERIC
@ATTRIBUTE trait_3_20 NUMERIC
@ATTRIBUTE trait_3_21 NUMERIC
@ATTRIBUTE trait_3_22 NUMERIC
@ATTRIBUTE trait_3_23 NUMERIC
@ATTRIBUTE trait_3_24 NUMERIC
@ATTRIBUTE trait_3_25 NUMERIC
@ATTRIBUTE trait_3_26 NUMERIC
@ATTRIBUTE trait_3_27 NUMERIC
@ATTRIBUTE trait_3_28 NUMERIC
@ATTRIBUTE trait_3_29 NUMERIC
@ATTRIBUTE trait_3_30 NUMERIC
%标注类型四
@ATTRIBUTE trait_4_1 NUMERIC
@ATTRIBUTE trait_4_2 NUMERIC
@ATTRIBUTE trait_4_3 NUMERIC
@ATTRIBUTE trait_4_4 NUMERIC
@ATTRIBUTE trait_4_5 NUMERIC
@ATTRIBUTE trait_4_6 NUMERIC
@ATTRIBUTE trait_4_7 NUMERIC
@ATTRIBUTE trait_4_8 NUMERIC
@ATTRIBUTE trait_4_9 NUMERIC
@ATTRIBUTE trait_4_10 NUMERIC
@ATTRIBUTE trait_4_11 NUMERIC
@ATTRIBUTE trait_4_12 NUMERIC
@ATTRIBUTE trait_4_13 NUMERIC
@ATTRIBUTE trait_4_14 NUMERIC
@ATTRIBUTE trait_4_15 NUMERIC
@ATTRIBUTE trait_4_16 NUMERIC
@ATTRIBUTE trait_4_17 NUMERIC
@ATTRIBUTE trait_4_18 NUMERIC
@ATTRIBUTE trait_4_19 NUMERIC
@ATTRIBUTE trait_4_20 NUMERIC
@ATTRIBUTE trait_4_21 NUMERIC
@ATTRIBUTE trait_4_22 NUMERIC
@ATTRIBUTE trait_4_23 NUMERIC
@ATTRIBUTE trait_4_24 NUMERIC
@ATTRIBUTE trait_4_25 NUMERIC
@ATTRIBUTE trait_4_26 NUMERIC
@ATTRIBUTE trait_4_27 NUMERIC
@ATTRIBUTE trait_4_28 NUMERIC
@ATTRIBUTE trait_4_29 NUMERIC
@ATTRIBUTE trait_4_30 NUMERIC
%标注类型五
@ATTRIBUTE trait_5_1 NUMERIC
@ATTRIBUTE trait_5_2 NUMERIC
@ATTRIBUTE trait_5_3 NUMERIC
@ATTRIBUTE trait_5_4 NUMERIC
@ATTRIBUTE trait_5_5 NUMERIC
@ATTRIBUTE trait_5_6 NUMERIC
@ATTRIBUTE trait_5_7 NUMERIC
@ATTRIBUTE trait_5_8 NUMERIC
@ATTRIBUTE trait_5_9 NUMERIC
@ATTRIBUTE trait_5_10 NUMERIC
@ATTRIBUTE trait_5_11 NUMERIC
@ATTRIBUTE trait_5_12 NUMERIC
@ATTRIBUTE trait_5_13 NUMERIC
@ATTRIBUTE trait_5_14 NUMERIC
@ATTRIBUTE trait_5_15 NUMERIC
@ATTRIBUTE trait_5_16 NUMERIC
@ATTRIBUTE trait_5_17 NUMERIC
@ATTRIBUTE trait_5_18 NUMERIC
@ATTRIBUTE trait_5_19 NUMERIC
@ATTRIBUTE trait_5_20 NUMERIC
@ATTRIBUTE trait_5_21 NUMERIC
@ATTRIBUTE trait_5_22 NUMERIC
@ATTRIBUTE trait_5_23 NUMERIC
@ATTRIBUTE trait_5_24 NUMERIC
@ATTRIBUTE trait_5_25 NUMERIC
@ATTRIBUTE trait_5_26 NUMERIC
@ATTRIBUTE trait_5_27 NUMERIC
@ATTRIBUTE trait_5_28 NUMERIC
@ATTRIBUTE trait_5_29 NUMERIC
@ATTRIBUTE trait_5_30 NUMERIC



@DATA
100000196,0,0,0,0,0,15,5,0,0,0,0,0,0,0,8,0,13,11,0,0,0,0,0,0,0,0,12,20,0,4,4,0,13,0,4,0,0,9,0,0,5,3,21,0,0,0,0,5,0,3,0,0,0,0,0,0,17,0,0,0,0,0,7,0,0,0,14,0,0,0,14,5,0,8,2,0,0,6,17,0,0,8,0,2,17,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,9,0,0,0,3,7,0,0,0,0,0,0,6,0,5,0,0,13,0,12,2,0,0,11,0
100000197,7,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,7,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,17,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,0,0,0,16,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,12,15,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,19,0,0,11,0,2,0,0,13,0,0,0,16,0,7,0,0,0,0,0,0,12,0,0,0,14,0,0,0,0
100000198,0,0,16,0,0,0,0,0,0,0,0,0,16,0,9,0,0,16,12,0,13,0,18,14,2,0,0,0,0,0,2,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,19,0,0,0,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,7,13,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,2,12,0,0,10,0,14,4,13,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,14,16,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,14,0,0,0,13,0,14,0,0,0,0,0
100000199,17,0,7,14,0,0,4,2,0,11,0,0,12,0,5,7,3,0,0,0,0,2,0,0,16,0,14,0,0,0,0,6,0,7,0,0,9,0,13,12,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,15,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,16,6,0,0,0,0,24,17,0,0,0,0,0,2,0,1,0,19,0,16,0,4,0,0,0,0,0,8,0,3,0,0,5,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,12
100000200,0,2,4,0,0,0,6,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,16,16,0,20,17,0,1,0,0,22,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,12,0,0,5,4,16,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,15,16,8,0,8,0,4,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,5,13,0
100000201,0,0,0,0,0,0,0,0,16,17,0,0,0,2,5,0,4,0,0,0,0,18,0,2,0,12,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,18,0,13,0,0,15,16,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,5,0,0,0,5,0,13,0,0,0,0,14,0,0,23,0,8,0,0,0,0,0,4,0,2,16,0,0,0,0,0,0,17,3,0,8,0,11,0,0,0,0,6,11,12,0,0,0,0,18,7,0,0,0,0,0,0,0,0,0,0,8,0
100000202,8,0,0,10,12,0,0,7,0,0,5,0,13,16,0,0,0,6,0,0,1,0,0,6,13,0,0,0,11,0,15,0,0,0,0,0,19,0,0,0,0,0,0,14,13,0,5,0,15,0,0,0,19,0,0,0,0,0,0,0,0,12,2,14,0,0,0,8,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,16,0,0,5,15,17,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,17,0,0,0,0,0,6,0,7,0,0,0,5,10,0,0,7,0,2,0,0,0,0,1,3,0,0,0,7,3,0,13
100000203,0,8,0,0,0,24,0,22,0,0,17,0,2,0,0,17,7,4,11,0,0,0,6,0,5,0,0,0,0,0,0,4,0,0,0,0,18,15,5,0,0,0,15,0,0,0,0,0,0,0,0,9,16,0,7,16,0,15,0,0,0,0,0,5,0,2,0,0,8,0,0,0,15,8,19,8,12,0,12,8,0,0,0,0,0,10,0,0,0,0,0,0,16,0,0,0,0,0,0,0,10,12,0,7,0,0,0,0,20,0,0,0,0,15,15,0,0,15,5,0,12,12,5,0,0,0,7,0,0,0,0,3,18,16,16,0,14,0,6,16,0,0,0,0,6,0,0,0,14,14
100000204,7,4,0,17,0,14,0,18,0,4,0,3,0,0,0,0,0,0,17,0,12,0,7,15,0,0,0,0,11,0,0,0,0,0,0,14,0,14,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,6,0,0,17,0,0,0,0,0,7,0,1,15,22,0,0,0,0,0,0,6,0,0,7,6,0,0,0,0,0,0,0,13,0,10,0,9,0,1,0,0,0,15,10,0,0,11,0,0,0,0,5,0,0,0,0,0,0,17,0,13,0,0,0,0,0,0,0,4,0,3,16,0,0
100000205,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,15,0,0,15,0,17,13,9,0,0,0,0,0,3,19,0,10,0,5,16,15,0,17,0,0,0,0,7,14,0,13,0,0,0,2,13,0,0,8,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,7,0,15,6,0,0,0,4,0,12,0,0,0,0,0,0,0,0,15,0,0,0,0,13,0,0,18,0,0,0,6,0,0,0,0,15,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,0,0,11,0,0,0,16,0,0,0,0
100000206,0,0,0,0,0,0,3,0,7,0,0,17,6,0,18,7,0,0,8,0,0,20,12,0,0,0,0,0,0,12,0,0,0,18,0,0,8,18,2,0,7,10,0,0,0,0,0,0,6,12,14,0,0,11,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,14,12,2,8,0,0,0,0,0,0,0,0,0,18,4,14,0,13,6,0,0,0,0,0,0,7,5,0,0,14,0,0,0,18,0,0,0,0,0,0,0,6,13,12,0,6,17,0,0,0,0,0,0,0,0
100000207,0,12,0,11,15,0,7,0,0,13,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,3,7,5,0,14,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,15,12,15,0,0,16,1,0,21,0,0,0,10,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,8,0,0,0,7,0,3,0,0,0,0,0,14,4,0,0,0,0,3,0,0,0,0,19,0,0,0,0,0,2,4,0,0,6,0,0,4,14,11,14,6,12,0,6,0,0,0,0,0,8,1,0,0
100000208,0,0,0,11,20,0,0,14,0,0,0,15,0,0,0,0,0,0,12,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,14,0,0,0,0,6,0,1,0,15,19,0,4,0,11,11,0,22,0,7,0,0,0,0,0,13,0,7,0,0,0,0,4,8,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,0,11,6,18,0,0,0,18,0,0,0,0,0,0,0,0,7,0,12,2,10,0,0,0,0,0,15,0,8,0,3,0,0,4,0,0,11,17,0,0,0,13,0,0,6,0,0,0,14,0,0,12
100000209,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,7,1,0,0,0,15,0,0,0,0,0,0,0,17,0,0,0,4,0,23,8,0,0,0,15,0,0,11,0,0,0,0,16,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,11,13,0,0,0,9,0,0,0,7,18,13,17,0,14,0,0,0,16,2,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,3,12,0,0,11,0,0,0,0,0,18,2,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,0,14,0,0
100000210,0,0,6,0,0,0,0,0,0,0,0,16,0,14,0,0,0,0,8,0,13,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,6,17,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,20,10,5,0,0,0,0,0,13,19,0,17,0,0,9,13,12,0,13,0,0,0,0,0,0,21,5,0,16,8,0,0,12,0,0,0,0,10,0,0,0,4,0,11,0,0,20,5,6,12,0,22,0,0,13,0,0,0,0,0,0,0,24,5,0,13,0,0,8,0,14,14,0,0,0,0,0,0,0,0,0,13,0,0
100000211,4,0,0,0,0,5,0,0,14,0,11,0,16,0,0,0,5,12,0,0,5,0,3,13,0,0,15,0,0,0,0,0,0,0,16,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,21,0,0,7,0,7,5,4,5,0,3,0,0,0,0,0,0,0,0,12,0,0,0,10,6,0,11,0,7,0,0,13,16,11,0,16,0,0,0,0,0,0,0,0,0,0,16,0,0,19,12,15,0,10,0,12,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,14,0,6,0,0,0,11,16,0,0,0,0,8,0,10,15,0,0,0,14,5,0,1,0,8,22
100000212,0,0,0,0,19,0,8,0,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,9,5,0,0,7,0,0,0,12,0,0,0,1,0,4,0,0,11,8,12,6,0,0,0,12,2,0,0,0,0,0,6,11,0,0,0,0,0,16,0,0,0,14,4,0,0,0,4,0,0,0,0,6,0,0,16,16,0,1,0,0,0,0,0,0,11,15,0,0,14,0,0,8,4,20,0,14,0,4,0,0,0,0,0,10,0,10,0,0,2,2,0,0,0,16,0,17,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
100000213,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,14,0,0,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,5,5,0,0,0,11,0,0,0,0,0,0,0,0,8,10,0,12,8,6,0,13,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,18,0,0,0,2,0,0,17,7,0,0,0,12,0,13,0,11,0,0,0,0,10,18,0,12,0,2,0,12,0,0,5,0,0,0,0,16,0,11,13,0,2,8,0,0
100000214,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,2,0,15,14,0,0,2,0,10,0,0,16,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,11,0,0,16,0,0,0,0,0,0,0,13,4,0,0,0,7,13,0,6,0,0,0,0,15,0,0,0,0,0,0,6,13,0,12,0,17,0,0,4,0,0,8,0,0,7,11,0,0,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,8,3,0,14,14,0,12,0,0,0,0,0,0,19,0,0,2,13,0,0,0,0,0,0,0,0,0,0,16,0,10,0
100000215,0,6,0,14,2,0,0,6,0,0,14,14,0,0,17,0,0,0,15,0,0,3,16,16,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,9,18,0,0,14,14,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,7,0,16,5,13,0,6,0,0,0,17,0,0,0,0,0,0,0,0,7,0,16,5,0,0,16,0,0,3,0,18,0,0,19,0,0,0,0,3,0,0,0,0,12,0,0,19,19,0,5,15,0,0,0,0,0,0,17,0,0,0,15,0,0,0,12,0,13,0,0,0
100000216,0,15,0,0,0,0,0,0,0,0,16,0,11,0,0,0,0,0,16,0,6,0,18,3,12,0,0,0,0,0,0,0,0,7,0,5,20,0,0,0,13,20,5,0,0,4,0,19,0,0,0,0,18,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,12,0,17,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,5,3,0,5,0,0,19,0,14,0,0,0,0,0,0,0,16,6,0,0,3,0,0,0,12,0,0,15,6,4,0,11,0,8,0,11,0,0,0,0,0,2,17,8,0,17,0,0,0,19,0,0,0,0,0
100000217,15,0,0,15,4,7,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16,0,7,0,14,6,0,0,0,0,12,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,17,8,0,0,0,4,0,0,14,2,0,0,0,0,4,0,0,0,21,14,11,18,21,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,6,13,11,12,16,0,0,0,4,0,0,0,17,8,0,0,0,17,3,0,0,0,0,4,1,11,20,5,0,0,0,11,0,11,7,0,0,0
100000218,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,14,0,0,5,0,12,0,0,0,3,0,0,6,0,0,0,2,0,20,0,0,14,0,9,12,0,0,0,0,14,0,0,0,16,0,7,0,0,2,14,0,17,17,8,0,19,0,0,0,13,0,5,0,0,0,0,5,0,0,15,15,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,17,0,0,0,15,0,0,0,5,0,0,0,0,18,0,11,0,0,6,12,0,9,0,15,0,0,3,0,0,3,0,0,15,0,12,0,19,13,0,8,0,0,11,0,5,0,0,6,2,0,0,0,0
100000219,17,0,0,1,0,0,0,0,0,2,0,15,0,12,0,0,0,0,0,0,18,0,0,0,7,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,0,18,17,0,0,0,5,8,0,0,8,3,0,0,14,0,8,0,2,9,0,1,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,18,0,0,0,8,0,0,4,0,0,0,0,0,0,22,0,7,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,3,13,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,0,5,0
100000220,0,0,4,0,0,6,0,0,0,0,13,0,0,0,2,0,0,0,0,0,11,17,0,13,0,0,11,0,0,0,0,0,10,13,0,0,6,19,0,0,5,0,0,4,0,0,0,0,0,15,4,0,0,0,7,0,0,0,0,4,0,0,0,14,0,12,0,0,7,0,0,0,7,0,4,0,0,0,0,0,0,3,0,0,7,8,0,0,0,0,0,0,19,0,0,0,0,0,8,7,0,16,11,0,0,0,0,10,0,20,0,0,0,0,16,7,5,0,13,15,0,0,15,0,0,0,17,18,0,11,11,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,12,0
100000221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,7,15,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,0,14,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,9,0,5,13,6,13,0,0,0,9,7,0,3,0,0,0,0,0,5,13,0,0,0,7,15,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,14,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,17,14,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,3,12,0,0,0,7,0,0
100000222,13,0,5,0,0,0,0,0,13,0,0,0,6,0,6,0,0,0,0,12,0,0,4,0,0,0,13,0,7,0,14,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,4,14,4,7,0,0,15,0,0,12,0,0,4,0,0,0,7,0,0,0,0,0,0,14,0,8,14,0,0,5,7,13,0,0,0,0,0,0,6,0,0,8,0,3,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,12,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,14,0,0,0,0,0,5,0,5,0,8,0,0,10,0,0,6,0
100000223,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,12,19,0,0,0,0,0,5,16,18,6,0,0,0,0,0,18,7,6,0,16,0,0,0,0,13,0,0,0,0,8,0,19,0,0,0,4,8,0,0,3,0,0,0,11,0,6,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,1,0,0,0,7,0,0,0,7,0,0,7,0,0,15,14,0,0,0,0,0,0,0,0,4,0,0,12,13,0,0,0,0,7,0,0,0,0,8,0
100000224,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,5,0,0,8,12,0,0,0,13,0,0,13,0,0,0,0,4,0,12,0,0,0,0,0,0,0,14,2,0,0,7,0,3,0,0,0,0,14,0,14,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,13,0,0,0,4,0,0,2,0,0,0,0,0,0,4,0,5,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,18,0,0,0,0,4,0,0,0,0,0,3,0,0,14,0,0,0,16,0,12,0,0,0,18,14,0,6,0,0
100000225,0,26,3,0,18,0,0,0,0,11,0,19,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,7,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,7,14,0,14,0,0,0,0,2,0,0,0,0,15,0,18,0,0,0,5,10,0,0,0,0,5,10,0,0,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,11,0,12,0,0,0,11
100000226,0,0,0,0,0,8,2,0,0,0,17,11,0,0,0,0,5,0,0,0,0,0,0,13,0,0,4,0,0,0,0,13,0,0,6,0,0,0,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17,9,18,5,0,8,0,0,0,0,15,0,0,0,0,0,10,0,0,0,0,7,0,0,13,6,19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,11,0,7,0,0,0,0,3,0,14,0,0,0,3,21,0,8,0,0,13,18,20,15,0,13,0,5,1,0,0,5,1,0,0,0,19,5,7,0,17,0,14,0,0,0,12,0,0
100000227,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,6,0,0,8,0,0,6,13,0,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,11,0,4,13,0,0,0,0,0,18,0,0,0,0,8,0,0,0,0,0,0,0,4,5,0,1,6,0,7,0,1,14,15,0,0,0,20,0,0,17,0,5,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,7,16,0,0,0
100000228,0,15,0,0,0,0,14,0,0,0,0,0,0,23,0,0,0,0,0,13,0,0,14,0,0,0,0,0,0,0,19,0,0,0,0,0,8,0,0,0,19,0,0,21,13,3,1,13,2,0,8,5,0,0,0,0,5,6,0,3,0,0,0,0,0,0,0,22,0,0,0,0,13,12,0,1,0,0,0,19,7,15,7,0,0,0,15,0,14,0,0,0,0,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0,21,18,0,0,14,0,0,0,0,0,14,7,0,9,0,0,0,0,14,0,4,2,0,7,0,0,16,20,0,3,0,0,6,14,0,0,0,0,0,0,0,0
